accession	accession_version	database	sra_accessions	strain	region	location	date	date_released	date_updated	length	host	is_lab_host	sample_type	biosample_accessions	full_authors	institution	submitter_country	country	division	authors
KF512583	KF512583.1	GenBank		KF512583	Asia		2011-08-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512584	KF512584.1	GenBank		KF512584	Asia		2011-08-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512585	KF512585.1	GenBank		KF512585	Asia		2011-08-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512586	KF512586.1	GenBank		KF512586	Asia		2011-08-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512587	KF512587.1	GenBank		KF512587	Asia		2011-08-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512588	KF512588.1	GenBank		KF512588	Asia		2011-08-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512589	KF512589.1	GenBank		KF512589	Asia		2011-08-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512590	KF512590.1	GenBank		KF512590	Asia		2011-08-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512591	KF512591.1	GenBank		KF512591	Asia		2011-08-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512592	KF512592.1	GenBank		KF512592	Asia		2011-08-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512593	KF512593.1	GenBank		KF512593	Asia		2011-08-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512594	KF512594.1	GenBank		KF512594	Asia		2011-08-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512595	KF512595.1	GenBank		KF512595	Asia		2011-08-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512596	KF512596.1	GenBank		KF512596	Asia		2011-08-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512597	KF512597.1	GenBank		KF512597	Asia		2011-08-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512598	KF512598.1	GenBank		KF512598	Asia		2011-08-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512599	KF512599.1	GenBank		KF512599	Asia		2011-08-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512600	KF512600.1	GenBank		KF512600	Asia		2011-09-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512601	KF512601.1	GenBank		KF512601	Asia		2011-09-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512602	KF512602.1	GenBank		KF512602	Asia		2011-09-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512603	KF512603.1	GenBank		KF512603	Asia		2011-09-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512604	KF512604.1	GenBank		KF512604	Asia		2011-09-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512605	KF512605.1	GenBank		KF512605	Asia		2011-09-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512606	KF512606.1	GenBank		KF512606	Asia		2011-09-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512607	KF512607.1	GenBank		KF512607	Asia		2011-09-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512608	KF512608.1	GenBank		KF512608	Asia		2011-09-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512609	KF512609.1	GenBank		KF512609	Asia		2011-09-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512610	KF512610.1	GenBank		KF512610	Asia		2011-10-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512611	KF512611.1	GenBank		KF512611	Asia		2011-10-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512612	KF512612.1	GenBank		KF512612	Asia		2011-10-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512613	KF512613.1	GenBank		KF512613	Asia		2011-10-XX	2013-11-24	2014-07-17	559	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512614	KF512614.1	GenBank		KF512614	Asia		2011-01-XX	2013-11-24	2014-07-17	546	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512615	KF512615.1	GenBank		KF512615	Asia		2011-01-XX	2013-11-24	2014-07-17	546	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512616	KF512616.1	GenBank		KF512616	Asia		2011-01-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512617	KF512617.1	GenBank		KF512617	Asia		2011-02-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512618	KF512618.1	GenBank		KF512618	Asia		2011-03-XX	2013-11-24	2014-07-17	546	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512619	KF512619.1	GenBank		KF512619	Asia		2011-04-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512620	KF512620.1	GenBank		KF512620	Asia		2011-08-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512621	KF512621.1	GenBank		KF512621	Asia		2011-08-XX	2013-11-24	2014-07-17	546	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512622	KF512622.1	GenBank		KF512622	Asia		2011-12-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512623	KF512623.1	GenBank		KF512623	Asia		2011-12-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512624	KF512624.1	GenBank		KF512624	Asia		2011-01-XX	2013-11-24	2014-07-17	546	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512625	KF512625.1	GenBank		KF512625	Asia		2011-04-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512626	KF512626.1	GenBank		KF512626	Asia		2011-04-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512627	KF512627.1	GenBank		KF512627	Asia		2011-04-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512628	KF512628.1	GenBank		KF512628	Asia		2011-03-XX	2013-11-24	2014-07-17	546	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512629	KF512629.1	GenBank		KF512629	Asia		2011-03-XX	2013-11-24	2014-07-17	546	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512630	KF512630.1	GenBank		KF512630	Asia		2011-06-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512631	KF512631.1	GenBank		KF512631	Asia		2011-06-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512632	KF512632.1	GenBank		KF512632	Asia		2011-06-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512633	KF512633.1	GenBank		KF512633	Asia		2011-06-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512634	KF512634.1	GenBank		KF512634	Asia		2011-07-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512635	KF512635.1	GenBank		KF512635	Asia		2011-07-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512636	KF512636.1	GenBank		KF512636	Asia		2011-07-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512637	KF512637.1	GenBank		KF512637	Asia		2011-07-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512638	KF512638.1	GenBank		KF512638	Asia		2011-07-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512639	KF512639.1	GenBank		KF512639	Asia		2011-07-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512640	KF512640.1	GenBank		KF512640	Asia		2011-07-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512641	KF512641.1	GenBank		KF512641	Asia		2011-07-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512642	KF512642.1	GenBank		KF512642	Asia		2011-07-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512643	KF512643.1	GenBank		KF512643	Asia		2011-07-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512644	KF512644.1	GenBank		KF512644	Asia		2011-08-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512645	KF512645.1	GenBank		KF512645	Asia		2011-08-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512646	KF512646.1	GenBank		KF512646	Asia		2011-08-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512647	KF512647.1	GenBank		KF512647	Asia		2011-08-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512648	KF512648.1	GenBank		KF512648	Asia		2011-08-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512649	KF512649.1	GenBank		KF512649	Asia		2011-08-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512650	KF512650.1	GenBank		KF512650	Asia		2011-08-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
KF512651	KF512651.1	GenBank		KF512651	Asia		2011-08-XX	2013-11-24	2014-07-17	558	Homo sapiens		oronasopharynx		Hu,Q.,Lu,R.,Peng,K.,Duan,X.,Wang,Y.,Zhao,Y.,Wang,W.,Lou,Y.,Tan,W.,Wang,Z.	National Institute for Viral Disease Control and Prevention, China CDC, Key Laboratory of Medical Virology, Ministry of Health	China	China		Hu et al.
