accession	accession_version	database	sra_accessions	strain	region	location	date	date_released	date_updated	length	host	is_lab_host	sample_type	biosample_accessions	full_authors	institution	submitter_country	country	division	authors
AB695077	AB695077.1	GenBank		AB695077	Asia		2011-07-XX	2012-05-29	2012-05-29	399					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.
AB695078	AB695078.1	GenBank		AB695078	Asia		2011-02-XX	2012-05-29	2012-05-29	1488					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.
AB695079	AB695079.1	GenBank		AB695079	Asia		2011-02-XX	2012-05-29	2012-05-29	1488					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.
AB695080	AB695080.1	GenBank		AB695080	Asia		2011-02-XX	2012-05-29	2012-05-29	1488					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.
AB695081	AB695081.1	GenBank		AB695081	Asia		2011-02-XX	2012-05-29	2012-05-29	1488					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.
AB695082	AB695082.1	GenBank		AB695082	Asia		2011-03-XX	2012-05-29	2012-05-29	1491					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.
AB695083	AB695083.1	GenBank		AB695083	Asia		2011-05-XX	2012-05-29	2012-05-29	1491					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.
AB695084	AB695084.1	GenBank		AB695084	Asia		2011-05-XX	2012-05-29	2012-05-29	1491					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.
AB695085	AB695085.1	GenBank		AB695085	Asia		2011-05-XX	2012-05-29	2012-05-29	1491					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.
AB695086	AB695086.1	GenBank		AB695086	Asia		2011-06-XX	2012-05-29	2012-05-29	1491					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.
AB695087	AB695087.1	GenBank		AB695087	Asia		2011-07-XX	2012-05-29	2012-05-29	1491					Kon,M.,Watanabe,K.,Tazawa,T.,Tamura,T.,Tsukagoshi,H.,Noda,M.,Kimura,H.,Mizuta,K.	Viology section; 314-1 Sowa, Nishiku, Niigatashi, Niigata 950-2144	Japan	Japan	Niigata	Kon et al.
AF124989	AF124989.1	GenBank		AF124989			XXXX-XX-XX	1999-05-30	2016-07-26	922					Stephensen,C.B.,Casebolt,D.B.,Gangopadhyay,N.N.	University of California, Western Human Nutrition Research Center, Nutrition	USA			Stephensen et al.
AF523843	AF523843.1	GenBank		AF523843			XXXX-XX-XX	2002-08-21	2016-07-24	948					Raman,S.,Bouma,P.,Williams,G.D.,Brian,D.A.,Wu,H.Y.,Guy,J.S.,Yoo,D.,Vlasak,R.,Urbach,E.,Wu,H.-Y.	Universtiy of Tennessee, Microbiology	USA			Raman et al.
AF523847	AF523847.1	GenBank		AF523847			XXXX-XX-XX	2002-08-21	2005-06-10	292					Wu,H.Y.,Guy,J.S.,Yoo,D.,Vlasak,R.,Urbach,E.,Brian,D.A.,Wu,H.-Y.	Universtiy of Tennessee, Microbiology	USA			Wu et al.
AH013296	AH013296.2	GenBank		AH013296			XXXX-XX-XX	2003-10-12	2016-06-10	776					Astell,C.R.,Marra,M.,Khattra,J.,Baross,A.,Coughlin,S.,Butterfield,Y.,Griffith,O.,Holt,R.,Jones,S.,McDonald,H.,Petrescu,A.,Smailus,D.,Stott,J.,Brunham,R.,Goh,S.H.,Isaac-Renton,J.,Krajden,M.,Petric,M.,Patrick,D.	British Columbia Cancer Agency (BCCA), Genome Sciences Centre	Canada			Astell et al.
AX794201	AX794201.1	GenBank		AX794201			XXXX-XX-XX	2003-07-17	2003-07-17	8					Rottier,P.J.,de Haan,C.A.,Haijema,B.J.,Bosch,B.J.					Rottier et al.
AY382775	AY382775.1	GenBank		AY382775			XXXX-XX-XX	2003-10-12	2016-07-26	333					Astell,C.R.,Marra,M.,Khattra,J.,Baross,A.,Coughlin,S.,Butterfield,Y.,Griffith,O.,Holt,R.,Jones,S.,McDonald,H.,Petrescu,A.,Smailus,D.,Stott,J.,Brunham,R.,Goh,S.H.,Isaac-Renton,J.,Krajden,M.,Petric,M.,Patrick,D.	British Columbia Cancer Agency (BCCA), Genome Sciences Centre	Canada			Astell et al.
AY391777	AY391777.1	GenBank		OC43			XXXX-XX-XX	2003-10-22	2005-01-14	30738					Vijgen,L.,Keyaerts,E.,Moes,E.,Thoelen,I.,Wollants,E.,Lemey,P.,Vandamme,A.M.,Van Ranst,M.,Vandamme,A.	Rega Institute for Medical Research, University of Leuven, Laboratory of Virology	Belgium			Vijgen et al.
AY461522	AY461522.1	GenBank		AY461522			XXXX-XX-XX	2003-12-07	2016-07-26	1314					Jabado,O.,Ishibashi,K.,Palacios,G.,Briese,T.,Lipkin,W.I.	1801 Mailman School of Public Health, Columbia University, Greene Infectious Disease Laboratory	USA			Jabado et al.
AY585228	AY585228.1	GenBank		AY585228	North America		XXXX-XX-XX	2004-08-04	2004-08-04	30741					St-Jean,J.R.,Jacomy,H.,Desforges,M.,Vabret,A.,Freymuth,F.,Talbot,P.J.	INRS-Institut Armand-Frappier	Canada	USA		St-Jean et al.
